url,title,host,location,room_type,bed,bath,feat_amenities,rate,reviews,price
https://www.airbnb.com/rooms/31837474?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9e7d5ba4-86b3-3bce-c0a8-18748bb088b1&federated_search_id=f6cdfdc5-c61d-4f73-874a-0b423c348e63,Encantadora habitación con terraza en Surco,Vanessa,Santiago de Surco,1 bedroom,1 bed,1 private bath,Show all 10 amenities,4.97,(31 reviews),€9
https://www.airbnb.com/rooms/39362404?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9e7d5ba4-86b3-3bce-c0a8-18748bb088b1&federated_search_id=f6cdfdc5-c61d-4f73-874a-0b423c348e63,"En Barranco, muy luminoso y con vista al mar.",Carmen,Cercado de Lima,1 bedroom,1 bed,1 bath,Show all 33 amenities,,,€22
https://www.airbnb.com/rooms/40204386?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9e7d5ba4-86b3-3bce-c0a8-18748bb088b1&federated_search_id=f6cdfdc5-c61d-4f73-874a-0b423c348e63,Habitación en ubicación céntrica,Yahaida,La Victoria,1 bedroom,1 bed,1 private bath,Show all 19 amenities,,,€5
https://www.airbnb.com/rooms/5941985?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9e7d5ba4-86b3-3bce-c0a8-18748bb088b1&federated_search_id=f6cdfdc5-c61d-4f73-874a-0b423c348e63,"Miraflores, spectacular ocean view",Grace,Miraflores,1 bedroom,1 bed,1 private bath,Show all 21 amenities,4.96,(450 reviews),€30
https://www.airbnb.com/rooms/22674040?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Cozy and Stylish flat in Barranco,Cali,Distrito de Lima,1 bedroom,1 bed,1 bath,Show all 30 amenities,4.83,(36 reviews),€32
https://www.airbnb.com/rooms/5803742?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,"Fully furnished bedroom, Miraflores",Fiorella,Lima,1 bedroom,1 bed,1 private bath,Show all 24 amenities,5.0,(75 reviews),€14
https://www.airbnb.com/rooms/6378046?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Quiet and Peaceful Appt. Miraflores Center,Luis,Miraflores,1 bedroom,1 bed,1 bath,Show all 28 amenities,4.83,(116 reviews),€32
https://www.airbnb.com/rooms/3451614?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,SUPER NICE LOCATION,Maria,Miraflores,1 bedroom,0 beds,1 bath,Show all 29 amenities,4.77,(287 reviews),€27
https://www.airbnb.com/rooms/38669278?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,NICE NEXT 2 HILTON-FULLY EQUIPPED APT:5min KENNEDY,Iván,Miraflores,1 bedroom,1 bed,1 bath,Show all 24 amenities,5.0,(4 reviews),€25
https://www.airbnb.com/rooms/26192363?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Disfruta Barranco,Russela,Barranco,1 bedroom,1 bed,1 bath,Show all 18 amenities,4.93,(57 reviews),€19
https://www.airbnb.com/rooms/27409284?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Lindo Apartamento céntrico!,Karen,Cercado de Lima,2 bedrooms,2 beds,2 baths,Show all 24 amenities,,,€22
